Date,Category,Assets,Liabilities,Net worth,Household count
1989:Q3,Silent,17649120,1267424,16381696,48553376
1989:Q3,BabyBoom,5808847,1831588,3977259,39289625
1989:Q3,GenX,131077,53761,77316,5177100
1989:Q3,Millennial,0,0,0,0
1989:Q4,Silent,17908857,1290657,16618200,48581895
1989:Q4,BabyBoom,5981476,1876276,4105200,39314788
1989:Q4,GenX,151381,60610,90771,5366102
1989:Q4,Millennial,0,0,0,0
1990:Q1,Silent,17971608,1310509,16661098,48563739
1990:Q1,BabyBoom,6022556,1911364,4111192,39352975
1990:Q1,GenX,165097,68514,96584,5588046
1990:Q1,Millennial,0,0,0,0
1990:Q2,Silent,18196150,1333843,16862307,48501343
1990:Q2,BabyBoom,6136599,1945769,4190830,39403449
1990:Q2,GenX,178456,78000,100457,5841384
1990:Q2,Millennial,0,0,0,0
1990:Q3,Silent,18173686,1349635,16824050,48397139
1990:Q3,BabyBoom,6077859,1978623,4099236,39465470
1990:Q3,GenX,201890,87096,114794,6124564
1990:Q3,Millennial,0,0,0,0
1990:Q4,Silent,18414465,1358026,17056439,48253561
1990:Q4,BabyBoom,6305849,2022267,4283582,39538300
1990:Q4,GenX,231045,94510,136534,6436036
1990:Q4,Millennial,0,0,0,0
1991:Q1,Silent,18660730,1354541,17306189,48073044
1991:Q1,BabyBoom,6534561,2041792,4492769,39621201
1991:Q1,GenX,257829,99348,158482,6774249
1991:Q1,Millennial,0,0,0,0
1991:Q2,Silent,18743720,1368613,17375107,47858021
1991:Q2,BabyBoom,6571723,2074537,4497186,39713433
1991:Q2,GenX,276466,111176,165290,7137654
1991:Q2,Millennial,0,0,0,0
1991:Q3,Silent,18903147,1380423,17522724,47610924
1991:Q3,BabyBoom,6749361,2087210,4662151,39814258
1991:Q3,GenX,306276,121499,184777,7524699
1991:Q3,Millennial,0,0,0,0
1991:Q4,Silent,19184694,1400749,17783946,47334189
1991:Q4,BabyBoom,7076233,2129667,4946566,39922939
1991:Q4,GenX,360082,136813,223269,7933834
1991:Q4,Millennial,0,0,0,0
1992:Q1,Silent,19213155,1414021,17799134,47030249
1992:Q1,BabyBoom,7078123,2117788,4960335,40038735
1992:Q1,GenX,370594,151219,219375,8363508
1992:Q1,Millennial,0,0,0,0
1992:Q2,Silent,19283936,1428258,17855677,46701537
1992:Q2,BabyBoom,7161301,2127463,5033838,40160909
1992:Q2,GenX,380603,166721,213882,8812171
1992:Q2,Millennial,0,0,0,0
1992:Q3,Silent,19452382,1437605,18014777,46350486
1992:Q3,BabyBoom,7407145,2166114,5241031,40288723
